symbol,timestamp,open,high,low,close,volume,trade_count,vwap,exchange
COIN,2024-09-05 04:00:00+00:00,161.62,166.37,158.12,159.7,5732706.0,90403.0,161.738292,IEX
COIN,2024-09-06 04:00:00+00:00,163.24,164.15,146.12,147.35,11026602.0,158473.0,151.312541,IEX
COIN,2024-09-09 04:00:00+00:00,151.27,157.4,150.06,155.05,9256668.0,124627.0,154.225507,IEX
COIN,2024-09-10 04:00:00+00:00,155.01,159.14,149.51,158.46,5824762.0,88285.0,155.193694,IEX
COIN,2024-09-11 04:00:00+00:00,153.56,158.84,149.95,157.15,6417381.0,99253.0,154.464268,IEX
COIN,2024-09-12 04:00:00+00:00,158.61,165.43,156.1,162.89,6697238.0,92282.0,161.608735,IEX
COIN,2024-09-13 04:00:00+00:00,162.24,168.93,161.58,163.05,5953642.0,98138.0,165.221811,IEX
COIN,2024-09-16 04:00:00+00:00,158.5,163.16,155.88,161.5,4686237.0,80783.0,160.123442,IEX
COIN,2024-09-17 04:00:00+00:00,164.14,167.67,160.5,162.45,5225172.0,82252.0,164.29272,IEX
COIN,2024-09-18 04:00:00+00:00,161.54,169.1,160.8,162.64,5027374.0,83464.0,164.045698,IEX
COIN,2024-09-19 04:00:00+00:00,172.0,175.39,167.0,168.24,9299066.0,134579.0,171.217701,IEX
COIN,2024-09-20 04:00:00+00:00,168.99,173.3914,165.4,170.09,8152342.0,99717.0,169.766888,IEX
COIN,2024-09-23 04:00:00+00:00,171.3,173.5667,168.7,170.22,4933242.0,80230.0,170.844355,IEX
COIN,2024-09-24 04:00:00+00:00,170.38,172.25,163.8081,171.68,6035486.0,95262.0,168.770482,IEX
COIN,2024-09-25 04:00:00+00:00,170.3,173.935,166.88,167.08,5359903.0,87819.0,169.508132,IEX
COIN,2024-09-26 04:00:00+00:00,170.61,181.49,170.26,179.93,12455160.0,172964.0,176.8084,IEX
COIN,2024-09-27 04:00:00+00:00,183.07,192.45,179.5,191.23,10563371.0,157622.0,187.831739,IEX
COIN,2024-09-30 04:00:00+00:00,184.19,185.4099,177.0,178.17,11739577.0,160617.0,179.852278,IEX
COIN,2024-10-01 04:00:00+00:00,178.72,178.9,160.0,165.01,15210465.0,227214.0,166.247973,IEX
COIN,2024-10-02 04:00:00+00:00,163.03,169.29,161.39,164.47,7881090.0,114142.0,165.115936,IEX
COIN,2024-10-03 04:00:00+00:00,162.83,166.41,161.41,163.1,4298586.0,76023.0,163.425381,IEX
COIN,2024-10-04 04:00:00+00:00,167.96,171.2431,164.0,170.91,6874436.0,106331.0,168.526103,IEX
COIN,2024-10-07 04:00:00+00:00,172.0,176.1483,166.892,168.92,6797536.0,112813.0,171.508111,IEX
COIN,2024-10-08 04:00:00+00:00,166.36,170.0499,165.02,167.69,5696090.0,83837.0,166.892872,IEX
COIN,2024-10-09 04:00:00+00:00,167.69,172.49,165.78,166.97,5725046.0,88017.0,168.22297,IEX
COIN,2024-10-10 04:00:00+00:00,166.05,167.31,161.87,164.27,5379854.0,91126.0,164.303489,IEX
COIN,2024-10-11 04:00:00+00:00,165.54,179.1799,165.22,176.38,10767071.0,153746.0,174.707968,IEX
COIN,2024-10-14 04:00:00+00:00,181.185,197.69,178.27,196.35,18131377.0,248107.0,191.063933,IEX
COIN,2024-10-15 04:00:00+00:00,195.68,204.9,188.31,196.34,17324804.0,245840.0,197.199385,IEX
COIN,2024-10-16 04:00:00+00:00,203.53,212.4199,197.6002,210.48,13969969.0,195730.0,207.496937,IEX
COIN,2024-10-17 04:00:00+00:00,209.2,209.45,201.13,204.2,8908025.0,132227.0,205.342468,IEX
COIN,2024-10-18 04:00:00+00:00,208.05,220.26,207.1403,220.21,13569592.0,186216.0,216.115323,IEX
COIN,2024-10-21 04:00:00+00:00,215.4,216.86,208.13,213.72,12686426.0,184423.0,212.72299,IEX
COIN,2024-10-22 04:00:00+00:00,209.45,215.95,207.3,210.72,7485083.0,106210.0,211.63682,IEX
