symbol,timestamp,open,high,low,close,volume,trade_count,vwap,exchange
GOOGL,2024-09-06 04:00:00+00:00,157.3,157.83,150.55,150.92,37912130.0,521892.0,152.213601,IEX
GOOGL,2024-09-09 04:00:00+00:00,152.51,153.4,147.215,148.71,39260451.0,549274.0,149.280571,IEX
GOOGL,2024-09-10 04:00:00+00:00,150.45,151.27,148.34,148.66,31118765.0,408215.0,149.441836,IEX
GOOGL,2024-09-11 04:00:00+00:00,149.92,151.5,147.52,151.16,29607693.0,419822.0,149.884943,IEX
GOOGL,2024-09-12 04:00:00+00:00,153.8,154.82,152.65,154.69,29695048.0,434119.0,154.033295,IEX
GOOGL,2024-09-13 04:00:00+00:00,155.43,158.38,155.21,157.46,29591152.0,392712.0,157.171602,IEX
GOOGL,2024-09-16 04:00:00+00:00,157.31,158.25,156.6,158.06,18379775.0,317510.0,157.775444,IEX
GOOGL,2024-09-17 04:00:00+00:00,159.02,160.55,158.375,159.32,20715612.0,314578.0,159.297372,IEX
GOOGL,2024-09-18 04:00:00+00:00,159.86,160.5,158.595,159.81,23677315.0,390384.0,159.665189,IEX
GOOGL,2024-09-19 04:00:00+00:00,163.71,163.79,161.34,162.14,26587733.0,361428.0,162.541346,IEX
GOOGL,2024-09-20 04:00:00+00:00,163.5,163.73,162.06,163.59,40896438.0,319691.0,163.324874,IEX
GOOGL,2024-09-23 04:00:00+00:00,164.35,165.49,161.67,161.85,24150852.0,311175.0,162.818732,IEX
GOOGL,2024-09-24 04:00:00+00:00,163.03,163.2158,160.69,162.29,23332147.0,273882.0,162.240302,IEX
GOOGL,2024-09-25 04:00:00+00:00,161.47,162.81,161.3,161.49,18869199.0,280359.0,161.861411,IEX
GOOGL,2024-09-26 04:00:00+00:00,163.64,164.08,162.28,162.73,20319336.0,263392.0,162.938684,IEX
GOOGL,2024-09-27 04:00:00+00:00,162.81,165.7,162.6261,163.95,21101307.0,292054.0,164.184361,IEX
GOOGL,2024-09-30 04:00:00+00:00,163.32,166.15,163.26,165.85,20481303.0,291009.0,165.135743,IEX
GOOGL,2024-10-01 04:00:00+00:00,167.685,169.16,164.58,166.99,28338123.0,409707.0,166.718446,IEX
GOOGL,2024-10-02 04:00:00+00:00,166.42,167.52,164.73,165.86,17760179.0,284543.0,165.670691,IEX
GOOGL,2024-10-03 04:00:00+00:00,164.41,166.64,163.923,165.86,15073101.0,246872.0,165.620823,IEX
GOOGL,2024-10-04 04:00:00+00:00,168.06,168.23,165.48,167.06,19093724.0,276149.0,166.727538,IEX
GOOGL,2024-10-07 04:00:00+00:00,167.72,168.48,162.75,162.98,22463140.0,325249.0,164.623972,IEX
GOOGL,2024-10-08 04:00:00+00:00,163.94,164.725,162.87,164.38,23072733.0,235550.0,163.831367,IEX
GOOGL,2024-10-09 04:00:00+00:00,163.45,164.84,159.74,161.86,31181774.0,475082.0,161.639663,IEX
GOOGL,2024-10-10 04:00:00+00:00,160.87,163.07,160.395,162.08,14144068.0,255064.0,162.041994,IEX
GOOGL,2024-10-11 04:00:00+00:00,162.13,163.9,161.235,163.24,15344251.0,250890.0,163.102159,IEX
GOOGL,2024-10-14 04:00:00+00:00,163.64,166.226,163.4,164.96,19016141.0,251253.0,164.979056,IEX
GOOGL,2024-10-15 04:00:00+00:00,165.785,167.68,164.625,165.46,20247195.0,320945.0,165.787034,IEX
GOOGL,2024-10-16 04:00:00+00:00,164.53,165.8,163.74,165.16,16406030.0,240255.0,164.890676,IEX
