symbol,entry_date,entry_price,entry_rsi,exit_date,exit_price,exit_rsi,exit_reason,shares,pnl,pnl_pct,hold_days
JBLU,2020-03-05 00:00:00-05:00,13.859999656677246,21.47825194937296,2020-03-09 00:00:00-04:00,13.399999618530272,19.964019367826936,STOP_LOSS,238,-109.48000907897992,-0.03318903676345786,3
JBLU,2020-03-09 00:00:00-04:00,13.399999618530272,19.964019367826936,2020-03-10 00:00:00-04:00,14.579999923706056,27.960520072573374,PROFIT_TARGET_8.8%,243,286.7400741577157,0.08805972677372424,1
JBLU,2020-03-12 00:00:00-04:00,11.489999771118164,19.277924243170332,2020-03-13 00:00:00-04:00,11.18000030517578,15.379263760718388,STOP_LOSS,292,-90.51984405517629,-0.02697993665079217,1
JBLU,2020-03-13 00:00:00-04:00,11.18000030517578,15.379263760718388,2020-03-16 00:00:00-04:00,10.609999656677246,12.267400564330728,STOP_LOSS,297,-169.2901926040644,-0.05098395643465695,3
JBLU,2020-03-16 00:00:00-04:00,10.609999656677246,12.267400564330728,2020-03-17 00:00:00-04:00,9.520000457763672,11.626386643127333,STOP_LOSS,308,-335.71975326538086,-0.10273319832085002,1
JBLU,2021-06-30 00:00:00-04:00,16.780000686645508,17.84388106371891,2021-07-06 00:00:00-04:00,16.56999969482422,25.346561129330567,MAX_HOLD_6d,188,-39.480186462402344,-0.012514957284144807,6
JBLU,2021-07-19 00:00:00-04:00,14.399999618530272,22.920552164326494,2021-07-20 00:00:00-04:00,15.350000381469728,34.54261294408229,PROFIT_TARGET_6.6%,218,207.10016632080155,0.06597227695179744,1
JBLU,2023-03-15 00:00:00-04:00,6.920000076293945,22.818815787073504,2023-03-20 00:00:00-04:00,6.809999942779541,20.454555658405766,MAX_HOLD_5d,464,-51.040061950683594,-0.01589597287595922,5
JBLU,2023-09-07 00:00:00-04:00,5.389999866485596,18.716589539778397,2023-09-08 00:00:00-04:00,5.179999828338623,17.500010728830944,STOP_LOSS,593,-124.53002262115479,-0.03896104700349418,1
JBLU,2023-09-15 00:00:00-04:00,4.96999979019165,17.56757714610478,2023-09-18 00:00:00-04:00,4.690000057220459,13.877555627913694,STOP_LOSS,635,-177.79983043670654,-0.056337976819189,3
AAL,2020-03-05 00:00:00-05:00,16.040000915527344,18.69631425856285,2020-03-09 00:00:00-04:00,14.75,15.451303377553486,STOP_LOSS,193,-248.97017669677734,-0.0804239926369688,3
AAL,2020-03-09 00:00:00-04:00,14.75,15.451303377553486,2020-03-10 00:00:00-04:00,17.0,23.8751175344446,PROFIT_TARGET_15.3%,204,459.0,0.15254237288135594,1
AAL,2020-03-10 00:00:00-04:00,17.0,23.8751175344446,2020-03-11 00:00:00-04:00,16.260000228881836,21.664402031503272,STOP_LOSS,186,-137.63995742797852,-0.04352939830106847,1
AAL,2020-03-11 00:00:00-04:00,16.260000228881836,21.664402031503272,2020-03-12 00:00:00-04:00,13.449999809265137,15.668201881227489,STOP_LOSS,192,-539.5200805664062,-0.17281675154133358,1
AAL,2020-03-12 00:00:00-04:00,13.449999809265137,15.668201881227489,2020-03-13 00:00:00-04:00,14.3100004196167,16.473033198192567,PROFIT_TARGET_6.4%,219,188.3401336669922,0.06394056673213812,1
AAL,2020-03-13 00:00:00-04:00,14.3100004196167,16.473033198192567,2020-03-16 00:00:00-04:00,15.920000076293944,22.029216241663548,PROFIT_TARGET_11.3%,210,338.0999279022213,0.112508707859309,3
AAL,2020-03-16 00:00:00-04:00,15.920000076293944,22.029216241663548,2020-03-17 00:00:00-04:00,15.579999923706056,22.518160989752204,STOP_LOSS,195,-66.30002975463798,-0.021356793401915396,1
AAL,2020-03-18 00:00:00-04:00,11.649999618530272,19.82942651099252,2020-03-19 00:00:00-04:00,10.289999961853027,19.109590922405843,STOP_LOSS,265,-360.39990901946976,-0.11673817177762429,1
AAL,2020-03-19 00:00:00-04:00,10.289999961853027,19.109590922405843,2020-03-24 00:00:00-04:00,13.920000076293944,30.68676749990638,PROFIT_TARGET_35.3%,289,1049.0700330734248,0.35276969172964157,5
AAL,2023-09-13 00:00:00-04:00,13.3100004196167,16.09498196070456,2023-09-18 00:00:00-04:00,13.109999656677246,20.245392670984103,MAX_HOLD_5d,249,-49.80018997192383,-0.015026352865074722,5
CCL,2020-02-26 00:00:00-05:00,33.13999938964844,24.497030727959427,2020-02-27 00:00:00-05:00,31.850000381469727,19.092349077590228,STOP_LOSS,99,-127.70990180969238,-0.038925740251572034,1
CCL,2020-02-27 00:00:00-05:00,31.850000381469727,19.092349077590228,2020-02-28 00:00:00-05:00,33.459999084472656,24.42179361540974,PROFIT_TARGET_5.1%,102,164.21986770629883,0.05054940922197364,1
CCL,2020-02-28 00:00:00-05:00,33.459999084472656,24.42179361540974,2020-03-03 00:00:00-05:00,31.82999992370605,25.800095449621878,STOP_LOSS,99,-161.3699169158939,-0.04871485969415395,4
CCL,2020-03-05 00:00:00-05:00,27.8700008392334,21.648679556220557,2020-03-06 00:00:00-05:00,27.149999618530277,19.401966804986913,STOP_LOSS,117,-84.24014282226521,-0.025834273377184656,1
CCL,2020-03-06 00:00:00-05:00,27.149999618530277,19.401966804986913,2020-03-09 00:00:00-04:00,21.739999771118164,16.336162540013916,STOP_LOSS,119,-643.7899818420415,-0.19926334892909936,2
CCL,2020-03-09 00:00:00-04:00,21.739999771118164,16.336162540013916,2020-03-10 00:00:00-04:00,24.020000457763672,22.949127267972415,PROFIT_TARGET_10.5%,139,316.9200954437256,0.10487583765637912,1
CCL,2020-03-10 00:00:00-04:00,24.020000457763672,22.949127267972415,2020-03-11 00:00:00-04:00,21.75,21.71738256238895,STOP_LOSS,130,-295.10005950927734,-0.09450459677364283,1
CCL,2020-03-11 00:00:00-04:00,21.75,21.71738256238895,2020-03-12 00:00:00-04:00,14.970000267028809,15.79982706949778,STOP_LOSS,139,-942.4199628829956,-0.3117241256538479,1
CCL,2020-03-12 00:00:00-04:00,14.970000267028809,15.79982706949778,2020-03-13 00:00:00-04:00,17.579999923706055,18.85485995190301,PROFIT_TARGET_17.4%,181,472.40993785858154,0.17434867135077675,1
CCL,2020-03-13 00:00:00-04:00,17.579999923706055,18.85485995190301,2020-03-16 00:00:00-04:00,14.56999969482422,17.926221395398684,STOP_LOSS,163,-490.630037307739,-0.17121730614019784,3
CCL,2020-03-16 00:00:00-04:00,14.56999969482422,17.926221395398684,2020-03-17 00:00:00-04:00,12.710000038146973,17.422890202858696,STOP_LOSS,186,-345.9599361419681,-0.12765955357830142,1
CCL,2020-03-18 00:00:00-04:00,9.300000190734863,15.648923065414422,2020-03-19 00:00:00-04:00,10.0,16.1443270767312,PROFIT_TARGET_7.5%,279,195.29994678497314,0.07526879515147886,1
CCL,2020-03-19 00:00:00-04:00,10.0,16.1443270767312,2020-03-20 00:00:00-04:00,12.0,19.597286271606166,PROFIT_TARGET_20.0%,266,532.0,0.2,1
CCL,2020-03-20 00:00:00-04:00,12.0,19.597286271606166,2020-03-24 00:00:00-04:00,13.68000030517578,24.4373665108904,PROFIT_TARGET_14.0%,236,396.480072021484,0.14000002543131496,4
CCL,2020-03-24 00:00:00-04:00,13.68000030517578,24.4373665108904,2020-03-25 00:00:00-04:00,15.550000190734863,28.437830473259453,PROFIT_TARGET_13.7%,217,405.7899751663212,0.1366958950177491,1
CCL,2021-07-19 00:00:00-04:00,19.71999931335449,17.633931612481348,2021-07-20 00:00:00-04:00,21.190000534057617,26.17587621973746,PROFIT_TARGET_7.5%,157,230.7901916503912,0.07454367504504099,1
CCL,2021-12-01 00:00:00-05:00,16.3799991607666,20.836971623415963,2021-12-02 00:00:00-05:00,17.889999389648438,30.421220423086112,PROFIT_TARGET_9.2%,194,292.9400444030762,0.09218561088199508,1
CCL,2022-05-24 00:00:00-04:00,11.760000228881836,21.565491849281642,2022-05-25 00:00:00-04:00,12.18000030517578,26.98961583746481,PROFIT_TARGET_3.6%,279,117.18002128601024,0.035714291506767935,1
CCL,2023-03-15 00:00:00-04:00,8.729999542236328,23.688951670077557,2023-03-16 00:00:00-04:00,9.029999732971191,24.508038675173665,PROFIT_TARGET_3.4%,380,114.00007247924805,0.0343642848185091,1
CCL,2023-03-16 00:00:00-04:00,9.029999732971191,24.508038675173665,2023-03-17 00:00:00-04:00,8.550000190734863,18.402773868521408,STOP_LOSS,371,-178.07983016967773,-0.05315609705764534,1
CCL,2023-03-17 00:00:00-04:00,8.550000190734863,18.402773868521408,2023-03-21 00:00:00-04:00,9.119999885559082,30.018409607981795,PROFIT_TARGET_6.7%,385,219.44988250732422,0.06666662948638226,4
RCL,2020-02-24 00:00:00-05:00,94.3292236328125,23.02030759915816,2020-02-25 00:00:00-05:00,87.43590545654297,21.612922469098322,STOP_LOSS,35,-241.2661361694336,-0.07307722793418268,1
RCL,2020-02-25 00:00:00-05:00,87.43590545654297,21.612922469098322,2020-02-26 00:00:00-05:00,80.3961181640625,22.436630916793405,STOP_LOSS,37,-260.47212982177734,-0.08051368892130195,1
RCL,2020-02-26 00:00:00-05:00,80.3961181640625,22.436630916793405,2020-02-27 00:00:00-05:00,75.18218994140625,16.349010377552446,STOP_LOSS,39,-203.34320068359375,-0.06485298471769878,1
RCL,2020-02-27 00:00:00-05:00,75.18218994140625,16.349010377552446,2020-02-28 00:00:00-05:00,78.51167297363281,19.106854360171397,PROFIT_TARGET_4.4%,41,136.50880432128906,0.0442855287245745,1
RCL,2020-02-28 00:00:00-05:00,78.51167297363281,19.106854360171397,2020-03-03 00:00:00-05:00,76.34408569335938,19.941264987840142,STOP_LOSS,40,-86.7034912109375,-0.027608471430756485,4
RCL,2020-03-04 00:00:00-05:00,77.4864730834961,21.569851886413318,2020-03-05 00:00:00-05:00,64.86459350585938,16.343155656766,STOP_LOSS,40,-504.87518310546875,-0.16289139349568696,1
RCL,2020-03-05 00:00:00-05:00,64.86459350585938,16.343155656766,2020-03-09 00:00:00-04:00,47.5982666015625,13.262538685401736,STOP_LOSS,46,-794.2510375976562,-0.2661903200354931,3
