symbol,entry_date,entry_price,entry_rsi,exit_date,exit_price,exit_rsi,exit_reason,shares,pnl,pnl_pct,hold_days
JBLU,2020-02-26 00:00:00-05:00,17.1200008392334,24.167860025372406,2020-02-27 00:00:00-05:00,16.270000457763672,23.356631454945045,STOP_LOSS,192,-163.2000732421875,-0.049649552558537605,1
JBLU,2020-02-27 00:00:00-05:00,16.270000457763672,23.356631454945045,2020-02-28 00:00:00-05:00,15.779999732971191,22.26665074665732,STOP_LOSS,199,-97.51014423370361,-0.030116823048930114,1
JBLU,2020-02-28 00:00:00-05:00,15.779999732971191,22.26665074665732,2020-03-02 00:00:00-05:00,15.56999969482422,20.838778736479796,MAX_HOLD_3d,203,-42.63000774383509,-0.01330798743349727,3
JBLU,2020-03-02 00:00:00-05:00,15.56999969482422,20.838778736479796,2020-03-03 00:00:00-05:00,15.010000228881836,14.285700130987763,STOP_LOSS,205,-114.79989051818885,-0.03596656884511948,1
JBLU,2020-03-03 00:00:00-05:00,15.010000228881836,14.285700130987763,2020-03-04 00:00:00-05:00,15.539999961853027,13.272004913491912,PROFIT_TARGET_3.5%,210,111.2999439239502,0.03530977514253333,1
JBLU,2020-03-04 00:00:00-05:00,15.539999961853027,13.272004913491912,2020-03-05 00:00:00-05:00,13.859999656677246,6.546265433032275,STOP_LOSS,205,-344.40006256103516,-0.1081081280115688,1
JBLU,2020-03-05 00:00:00-05:00,13.859999656677246,6.546265433032275,2020-03-09 00:00:00-04:00,13.399999618530272,6.305316269597768,STOP_LOSS,222,-102.12000846862833,-0.03318903676345786,3
JBLU,2020-03-09 00:00:00-04:00,13.399999618530272,6.305316269597768,2020-03-10 00:00:00-04:00,14.579999923706056,17.985618632656667,PROFIT_TARGET_8.8%,227,267.86006927490314,0.08805972677372424,1
JBLU,2020-03-10 00:00:00-04:00,14.579999923706056,17.985618632656667,2020-03-11 00:00:00-04:00,13.56999969482422,16.138062489858342,STOP_LOSS,215,-217.15004920959473,-0.06927299274121713,1
JBLU,2020-03-11 00:00:00-04:00,13.56999969482422,16.138062489858342,2020-03-12 00:00:00-04:00,11.489999771118164,13.751989221814028,STOP_LOSS,226,-470.07998275756876,-0.15327929038195898,1
