symbol,entry_date,entry_price,entry_rsi,exit_date,exit_price,exit_rsi,exit_reason,shares,pnl,pnl_pct,hold_days
JBLU,2011-07-13 00:00:00-04:00,5.659999847412109,17.582403762717405,2011-07-18 00:00:00-04:00,5.420000076293945,0.0,STOP_LOSS,583,-139.91986656188965,-0.04240278755977314,5
JBLU,2011-07-26 00:00:00-04:00,4.829999923706055,13.207535287076226,2011-07-27 00:00:00-04:00,4.699999809265137,13.99998664855957,STOP_LOSS,673,-87.4900770187378,-0.026915137990554873,1
JBLU,2011-07-27 00:00:00-04:00,4.699999809265137,13.99998664855957,2011-08-01 00:00:00-04:00,4.690000057220459,12.844028269014984,MAX_HOLD_5d,686,-6.859829902648926,-0.0021276069043588398,5
JBLU,2011-11-17 00:00:00-05:00,3.700000047683716,1.5384248586451577,2011-11-21 00:00:00-05:00,3.5899999141693115,1.8518068826180922,STOP_LOSS,870,-95.70011615753174,-0.029729765431561788,4
JBLU,2012-02-21 00:00:00-05:00,5.300000190734863,15.957455982606604,2012-02-22 00:00:00-05:00,5.139999866485596,14.705885102865892,STOP_LOSS,602,-96.32019519805908,-0.03018873933796651,1
JBLU,2012-02-23 00:00:00-05:00,5.019999980926514,8.333344371226431,2012-02-24 00:00:00-05:00,4.809999942779541,7.317082626154388,STOP_LOSS,629,-132.0900239944458,-0.04183267708065093,1
JBLU,2012-02-24 00:00:00-05:00,4.809999942779541,7.317082626154388,2012-02-27 00:00:00-05:00,5.159999847412109,28.387096972668928,PROFIT_TARGET_7.3%,647,226.44993829727173,0.07276505380378756,3
JBLU,2012-03-12 00:00:00-04:00,4.909999847412109,8.823459288586335,2012-03-13 00:00:00-04:00,5.079999923706055,46.51160211804497,PROFIT_TARGET_3.5%,649,110.33004951477051,0.03462323453707365,1
JBLU,2013-04-03 00:00:00-04:00,6.159999847412109,8.247416598950863,2013-04-04 00:00:00-04:00,6.489999771118164,34.74575483535175,PROFIT_TARGET_5.4%,523,172.5899600982666,0.053571417513052645,1
JBLU,2013-05-15 00:00:00-04:00,6.53000020980835,18.03275484830695,2013-05-20 00:00:00-04:00,6.360000133514404,20.408153335331505,STOP_LOSS,502,-85.34003829956055,-0.026033701505644314,5
JBLU,2014-03-04 00:00:00-05:00,8.619999885559082,18.867972059178115,2014-03-06 00:00:00-05:00,9.0,46.913570072067124,PROFIT_TARGET_4.4%,377,143.26004314422607,0.04408354054360543,2
JBLU,2014-04-28 00:00:00-04:00,7.630000114440918,9.655191010999488,2014-04-30 00:00:00-04:00,7.909999847412109,19.858139239170725,PROFIT_TARGET_3.7%,432,120.95988464355469,0.036697212158784895,2
JBLU,2014-08-05 00:00:00-04:00,10.779999732971191,16.842026010269592,2014-08-07 00:00:00-04:00,11.130000114440918,53.6841989025705,RSI_NEUTRAL_53.7,310,108.50011825561523,0.032467568658580956,2
