symbol,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,exit_reason,momentum_at_entry,volume_surge_at_entry,days_held
JBLU,2017-03-10,20.040000915527344,2017-03-13,20.040000915527344,164,0.0,0.0,TIME_EXIT,0.05031451759224237,2.260202057039003,3
JBLU,2020-01-23,21.06999969482422,2020-01-24,20.649999618530277,156,-65.52001190185491,-0.019933558726966356,TIME_EXIT,0.0646790661991623,2.9242078293064524,1
JBLU,2020-03-10,14.579999923706056,2020-03-11,13.56999969482422,226,-228.26005172729492,-0.06927299274121713,STOP_LOSS,0.0880597267737242,2.0037225776334857,1
JBLU,2020-03-25,11.34000015258789,2020-03-26,10.93000030517578,291,-119.30995559692434,-0.03615518887965319,TIME_EXIT,0.20638304391345774,1.5958753652117834,1
JBLU,2020-04-28,9.020000457763672,2020-04-29,10.130000114440918,365,405.1498746871948,0.12305982265464854,PROFIT_TARGET,0.11083751045430246,1.6250554116321725,1
JBLU,2020-06-04,13.020000457763672,2020-06-05,13.6899995803833,253,169.5097780227661,0.051459224198422845,PROFIT_TARGET,0.15527949679846387,2.9102497564534193,1
JBLU,2020-06-08,15.59000015258789,2020-06-09,14.210000038146973,211,-291.1800241470337,-0.08851828742361124,STOP_LOSS,0.13878748213602154,1.5821037811193288,1
JBLU,2020-08-10,11.6899995803833,2020-08-11,11.710000038146973,282,5.640129089355469,0.0017109032062955886,TIME_EXIT,0.08643116465789413,1.7352424878670016,1
JBLU,2020-10-07,12.289999961853027,2020-10-08,12.75,268,123.28001022338867,0.03742880712569311,PROFIT_TARGET,0.06776713444487625,1.565409962748794,1
JBLU,2020-10-22,13.0,2020-10-23,13.43000030517578,253,108.7900772094722,0.03307694655198304,PROFIT_TARGET,0.08968982962724703,1.9765324135109203,1
JBLU,2020-11-09,15.029999732971191,2020-11-10,14.9399995803833,219,-19.710033416748047,-0.005988034210703145,TIME_EXIT,0.21700398937012233,2.839363701039821,1
JBLU,2020-12-03,15.890000343322754,2020-12-04,15.609999656677246,207,-57.96014213562012,-0.017621188206151852,TIME_EXIT,0.06145624982520759,2.193198683731259,1
JBLU,2021-02-04,15.949999809265137,2021-02-05,15.800000190734863,206,-30.899921417236328,-0.00940436491059647,TIME_EXIT,0.06333332061767583,1.9003785869844236,1
JBLU,2021-02-22,18.489999771118164,2021-02-23,19.149999618530277,178,117.4799728393561,0.035694962443593374,PROFIT_TARGET,0.06325476826206855,1.535715866499309,1
JBLU,2021-03-08,20.459999084472656,2021-03-09,20.25,161,-33.809852600097656,-0.010263885330866272,TIME_EXIT,0.09822866377578254,1.6799089390955315,1
JBLU,2021-07-20,15.350000381469728,2021-07-21,15.869999885559082,214,111.27989387512169,0.033876188349616504,PROFIT_TARGET,0.06597227695179742,1.674948033036538,1
JBLU,2021-10-01,16.309999465942383,2021-10-04,16.170000076293945,202,-28.279876708984375,-0.008583653846266292,TIME_EXIT,0.0667102358818934,1.5606574053122102,3
JBLU,2021-11-05,16.1200008392334,2021-11-08,15.93000030517578,204,-38.76010894775427,-0.01178663301277189,TIME_EXIT,0.07610155753228298,1.9417001469474282,3
JBLU,2022-03-09,12.720000267028809,2022-03-10,12.739999771118164,259,5.179871559143066,0.0015722880243324898,TIME_EXIT,0.064435185778553,1.570184079577848,1
JBLU,2022-08-03,8.59000015258789,2022-08-04,8.680000305175781,384,34.56005859375,0.01047731676241897,TIME_EXIT,0.0684079842468186,1.809910759570253,1
AAL,2017-08-25,44.00728225708008,2017-08-28,43.715518951416016,74,-21.590484619140625,-0.006629886934613472,TIME_EXIT,0.05428714073913521,2.18214468624606,3
AAL,2017-10-03,49.12282943725586,2017-10-04,49.33678436279297,67,14.334980010986328,0.004355508996288417,TIME_EXIT,0.05824436323664339,1.538313937887603,1
AAL,2018-08-20,39.24533081054688,2018-08-21,39.57899856567383,84,28.028091430663466,0.008502100714546032,TIME_EXIT,0.05821640121411842,1.5562927554619914,1
AAL,2018-10-25,31.767223358154297,2018-10-26,31.855545043945312,103,9.09713363647461,0.0027802771679239138,TIME_EXIT,0.06690825325466054,1.5714056038065658,1
AAL,2020-01-23,28.693960189819336,2020-01-24,27.538230895996094,115,-132.90886878967285,-0.040277789687367616,TIME_EXIT,0.054172748428435336,3.027381197235875,1
AAL,2020-03-10,17.0,2020-03-11,16.260000228881836,194,-143.55995559692383,-0.04352939830106847,TIME_EXIT,0.15254237288135597,2.178787902544686,1
AAL,2020-03-13,14.3100004196167,2020-03-16,15.920000076293944,230,370.2999210357662,0.112508707859309,PROFIT_TARGET,0.06394056673213822,1.79173866737056,3
AAL,2020-03-24,13.920000076293944,2020-03-25,15.390000343322754,237,348.39006328582803,0.10560346688016561,PROFIT_TARGET,0.3580487879311165,1.888438793206365,1
AAL,2020-04-07,10.220000267028809,2020-04-08,11.329999923706056,322,357.4198894500738,0.10861053108366997,PROFIT_TARGET,0.0757895017925061,1.9323458510115594,1
AAL,2020-04-09,12.510000228881836,2020-04-13,11.5600004196167,263,-249.84994983673096,-0.07593923196514996,STOP_LOSS,0.10414830654207097,1.5355707158920342,4
AAL,2020-06-04,16.719999313354492,2020-06-05,18.59000015258789,197,368.3901653289795,0.1118421600496002,PROFIT_TARGET,0.4109703607689461,5.059664395809283,1
AAL,2020-06-08,20.309999465942383,2020-06-09,18.549999237060547,162,-285.1200370788574,-0.08665683284892062,STOP_LOSS,0.09252282405791434,1.70150817986612,1
AAL,2020-08-05,12.5600004196167,2020-08-06,13.039999961853027,262,125.75988006591797,0.03821652278662715,PROFIT_TARGET,0.09503052547619895,1.612904536531923,1
AAL,2020-08-10,14.0,2020-08-11,13.729999542236328,235,-63.45010757446289,-0.01928574698311942,TIME_EXIT,0.07444361373042185,1.634244795559619,1
AAL,2020-08-24,13.4399995803833,2020-08-25,13.140000343322754,245,-73.49981307983398,-0.022321372502006512,TIME_EXIT,0.10526313725600911,1.504525817529522,1
AAL,2020-11-09,13.199999809265137,2020-11-10,12.380000114440918,250,-204.9999237060547,-0.062121189899461776,STOP_LOSS,0.1518324402553417,3.7079370921059938,1
AAL,2020-11-24,14.81999969482422,2020-11-25,14.9399995803833,222,26.639974594115817,0.008097158436581436,TIME_EXIT,0.09292029765609233,1.9622453861824702,1
AAL,2020-12-03,16.09000015258789,2020-12-04,16.399999618530273,205,63.54989051818848,0.01926659185845458,TIME_EXIT,0.08277257902613422,1.7902131387151548,1
AAL,2021-01-27,16.559999465942383,2021-01-28,18.100000381469727,199,306.4601821899414,0.09299522736667593,PROFIT_TARGET,0.06632322927761769,3.0503891988997145,1
AAL,2021-03-15,25.170000076293945,2021-03-16,24.46999931335449,131,-91.70009994506883,-0.02781091620252889,TIME_EXIT,0.07702178743779586,1.7624520784672328,1
AAL,2021-09-09,20.200000762939453,2021-09-10,18.950000762939453,163,-203.75,-0.06188118578160406,STOP_LOSS,0.055933175594032436,2.2323096173443084,1
AAL,2021-11-05,21.81999969482422,2021-11-08,22.25,151,64.93004608154297,0.019706705370751167,TIME_EXIT,0.05768301417678767,2.0484312523970956,3
AAL,2021-12-02,17.420000076293945,2021-12-03,16.6200008392334,189,-151.19985580444336,-0.045924181030815726,TIME_EXIT,0.07002452958024619,1.5296135709250942,1
AAL,2021-12-06,17.93000030517578,2021-12-07,17.889999389648438,184,-7.36016845703125,-0.002230948959649312,TIME_EXIT,0.0788206618407612,1.807647613074916,1
AAL,2022-03-08,13.510000228881836,2022-03-09,14.300000190734863,244,192.75999069213867,0.05847519973864665,PROFIT_TARGET,0.05218069068004705,1.823023451577075,1
AAL,2022-04-13,18.950000762939453,2022-04-14,19.0,174,8.699867248535156,0.0026384820605564545,TIME_EXIT,0.10624645016569878,2.383348345056565,1
AAL,2022-07-12,14.770000457763672,2022-07-13,14.3100004196167,223,-102.5800085067749,-0.031144212856485,TIME_EXIT,0.0997766286030144,1.8533073817915635,1
CCL,2020-02-28,33.459999084472656,2020-03-02,33.060001373291016,98,-39.19977569580078,-0.011954504546512744,TIME_EXIT,0.050549409221973596,2.3382959378014805,3
CCL,2020-03-10,24.020000457763672,2020-03-11,21.75,137,-310.99006271362305,-0.09450459677364283,STOP_LOSS,0.1048758376563792,2.529879355135217,1
CCL,2020-03-13,17.579999923706055,2020-03-16,14.56999969482422,187,-562.870042800903,-0.17121730614019784,STOP_LOSS,0.1743486713507767,2.3041333438105998,3
CCL,2020-03-19,10.0,2020-03-20,12.0,330,660.0,0.2,PROFIT_TARGET,0.07526879515147877,1.5557041154875895,1
CCL,2020-03-24,13.68000030517578,2020-03-25,15.550000190734863,241,450.6699724197392,0.1366958950177491,PROFIT_TARGET,0.14000002543131496,1.5570454303505354,1
CCL,2020-03-26,17.81999969482422,2020-03-27,14.40999984741211,185,-630.8499717712402,-0.19135801940572067,STOP_LOSS,0.14598067371355317,2.0394990129171036,1
CCL,2020-04-03,8.489999771118164,2020-04-06,10.210000038146973,388,667.3601036071777,0.2025913207771828,PROFIT_TARGET,0.06524466682752683,1.5541072259325521,3
CCL,2020-04-07,11.300000190734863,2020-04-08,11.989999771118164,292,201.47987747192383,0.06106190873775805,PROFIT_TARGET,0.10675809485948995,1.9488463086848435,1
CCL,2020-06-04,18.479999542236328,2020-06-05,21.51000022888184,178,539.3401222229011,0.16396108017862215,PROFIT_TARGET,0.0713043212890625,1.659839247504409,1
CCL,2020-06-08,24.90999984741211,2020-06-09,23.040000915527344,132,-246.83985900878906,-0.0750702104913517,STOP_LOSS,0.1580659963901363,1.823493461288362,1
CCL,2020-07-15,17.479999542236328,2020-07-16,15.779999732971191,188,-319.5999641418457,-0.09725399621192696,STOP_LOSS,0.1622340150646302,1.7457243809957075,1
CCL,2020-08-24,16.139999389648438,2020-08-25,15.890000343322754,204,-50.99980545043945,-0.015489408660450333,TIME_EXIT,0.1017064716666285,1.746570343577839,1
CCL,2020-09-03,17.579999923706055,2020-09-04,18.530000686645508,187,177.65014266967773,0.054038723951210496,PROFIT_TARGET,0.052064685032916946,2.5518925386504754,1
CCL,2020-10-30,13.710000038146973,2020-11-02,13.550000190734863,240,-38.39996337890625,-0.011670302477529006,TIME_EXIT,0.05624040998886448,2.116904534985362,3
CCL,2020-11-09,19.25,2020-11-10,16.729999542236328,171,-430.9200782775879,-0.13090911468902192,STOP_LOSS,0.39290885854428703,4.3932469324444305,1
CCL,2020-11-13,16.010000228881836,2020-11-16,17.56999969482422,206,321.35988998413086,0.0974390658113898,PROFIT_TARGET,0.07233756876291908,2.8624643382587256,3
CCL,2021-02-16,22.46999931335449,2021-02-17,23.200000762939453,146,106.58021163940481,0.032487826964512016,PROFIT_TARGET,0.09077664549787468,1.623771250408981,1
CCL,2021-02-22,25.96999931335449,2021-02-23,26.459999084472656,127,62.22997093200729,0.018867916213852046,TIME_EXIT,0.05612033965853258,2.1396639164647917,1
CCL,2021-07-20,21.190000534057617,2021-07-21,23.190000534057617,155,310.0,0.09438414108510762,PROFIT_TARGET,0.074543675045041,1.9472069181354166,1
CCL,2021-11-05,24.790000915527344,2021-11-08,24.59000015258789,133,-26.600101470947266,-0.008067799739941987,TIME_EXIT,0.08347910073510456,2.3479646813319435,3
CCL,2021-12-02,17.889999389648438,2021-12-03,17.200000762939453,184,-126.95974731445312,-0.03856895753211894,TIME_EXIT,0.09218561088199517,1.8296484544487939,1
CCL,2021-12-06,18.59000015258789,2021-12-07,18.5,177,-15.93002700805664,-0.004841320701945331,TIME_EXIT,0.08081391441815788,1.7585137228445116,1
CCL,2022-06-24,10.850000381469728,2022-06-27,10.550000190734863,304,-91.20005798339898,-0.027649786192378675,TIME_EXIT,0.12435241558301957,1.693250293667504,3
CCL,2022-10-04,7.760000228881836,2022-10-05,7.429999828338623,425,-140.25017023086548,-0.04252582355796705,TIME_EXIT,0.13284676451365285,1.7509954501347964,1
CCL,2022-11-15,11.15999984741211,2022-11-16,9.630000114440918,295,-451.34992122650146,-0.13709675214072542,STOP_LOSS,0.0528301363952155,1.7981743172697786,1
RCL,2017-01-26,87.35973358154297,2017-01-27,86.37324523925781,37,-36.50006866455078,-0.011292254472872817,TIME_EXIT,0.09090885705858187,3.9671803853802587,1
RCL,2017-04-28,97.85417175292967,2017-05-01,99.5156707763672,33,54.82946777343844,0.01697933765800623,TIME_EXIT,0.06069640583059832,3.9030818376916194,3
RCL,2018-06-14,106.82594299316406,2018-06-15,107.7765655517578,30,28.518676757812074,0.008898798662180473,TIME_EXIT,0.05112042194686417,2.4572102993954283,1
RCL,2020-03-10,50.95094680786133,2020-03-11,43.752540588378906,64,-460.697998046875,-0.1412811080160686,STOP_LOSS,0.07043702314547673,3.3546762577989258,1
