ok,symbol,timeframe,bars,start,end,initial_equity,final_equity,total_return,buyhold_return,max_drawdown,sharpe,fast,slow,window_start,window_end
True,AAPL,1D,126,2025-07-18T04:00:00+00:00,2025-10-14T04:00:00+00:00,10000,10000.0,0.0,0.17427543095283204,0.0,0.0,9,21,2023-10-16,2024-01-14
True,AAPL,1D,186,2025-07-18T04:00:00+00:00,2025-10-14T04:00:00+00:00,10000,10000.0,0.0,0.17427543095283204,0.0,0.0,9,21,2023-11-15,2024-02-13
True,AAPL,1D,186,2025-07-18T04:00:00+00:00,2025-10-14T04:00:00+00:00,10000,10000.0,0.0,0.17427543095283204,0.0,0.0,9,21,2023-12-15,2024-03-14
True,AAPL,1D,186,2025-07-18T04:00:00+00:00,2025-10-14T04:00:00+00:00,10000,10000.0,0.0,0.17427543095283204,0.0,0.0,9,21,2024-01-14,2024-04-13
True,AAPL,1D,186,2025-07-18T04:00:00+00:00,2025-10-14T04:00:00+00:00,10000,10000.0,0.0,0.17427543095283204,0.0,0.0,9,21,2024-02-13,2024-05-13
True,AAPL,1D,186,2025-07-18T04:00:00+00:00,2025-10-14T04:00:00+00:00,10000,10000.0,0.0,0.17427543095283204,0.0,0.0,9,21,2024-03-14,2024-06-12
True,AAPL,1D,186,2025-07-18T04:00:00+00:00,2025-10-14T04:00:00+00:00,10000,10000.0,0.0,0.17427543095283204,0.0,0.0,9,21,2024-04-13,2024-07-12
True,AAPL,1D,186,2025-07-18T04:00:00+00:00,2025-10-14T04:00:00+00:00,10000,10000.0,0.0,0.17427543095283204,0.0,0.0,9,21,2024-05-13,2024-08-11
True,AAPL,1D,186,2025-07-18T04:00:00+00:00,2025-10-14T04:00:00+00:00,10000,10000.0,0.0,0.17427543095283204,0.0,0.0,9,21,2024-06-12,2024-09-10
True,AAPL,1D,186,2025-07-18T04:00:00+00:00,2025-10-14T04:00:00+00:00,10000,10000.0,0.0,0.17427543095283204,0.0,0.0,9,21,2024-07-12,2024-10-10
True,AAPL,1D,186,2025-07-18T04:00:00+00:00,2025-10-14T04:00:00+00:00,10000,10000.0,0.0,0.17427543095283204,0.0,0.0,9,21,2024-08-11,2024-11-09
True,AAPL,1D,186,2025-07-18T04:00:00+00:00,2025-10-14T04:00:00+00:00,10000,10000.0,0.0,0.17427543095283204,0.0,0.0,9,21,2024-09-10,2024-12-09
True,AAPL,1D,186,2025-07-18T04:00:00+00:00,2025-10-14T04:00:00+00:00,10000,10000.0,0.0,0.17427543095283204,0.0,0.0,9,21,2024-10-10,2025-01-08
True,AAPL,1D,186,2025-07-18T04:00:00+00:00,2025-10-14T04:00:00+00:00,10000,10000.0,0.0,0.17427543095283204,0.0,0.0,9,21,2024-11-09,2025-02-07
True,AAPL,1D,186,2025-07-18T04:00:00+00:00,2025-10-14T04:00:00+00:00,10000,10000.0,0.0,0.17427543095283204,0.0,0.0,9,21,2024-12-09,2025-03-09
True,AAPL,1D,186,2025-07-18T04:00:00+00:00,2025-10-14T04:00:00+00:00,10000,10000.0,0.0,0.17427543095283204,0.0,0.0,9,21,2025-01-08,2025-04-08
True,AAPL,1D,186,2025-07-18T04:00:00+00:00,2025-10-14T04:00:00+00:00,10000,10000.0,0.0,0.17427543095283204,0.0,0.0,9,21,2025-02-07,2025-05-08
True,AAPL,1D,186,2025-07-18T04:00:00+00:00,2025-10-14T04:00:00+00:00,10000,10000.0,0.0,0.17427543095283204,0.0,0.0,9,21,2025-03-09,2025-06-07
True,AAPL,1D,186,2025-07-18T04:00:00+00:00,2025-10-14T04:00:00+00:00,10000,10000.0,0.0,0.17427543095283204,0.0,0.0,9,21,2025-04-08,2025-07-07
True,AAPL,1D,186,2025-07-18T04:00:00+00:00,2025-10-14T04:00:00+00:00,10000,10000.0,0.0,0.17427543095283204,0.0,0.0,9,21,2025-05-08,2025-08-06
True,AAPL,1D,186,2025-07-18T04:00:00+00:00,2025-10-14T04:00:00+00:00,10000,10000.0,0.0,0.17427543095283204,0.0,0.0,9,21,2025-06-07,2025-09-05
True,AAPL,1D,186,2025-07-18T04:00:00+00:00,2025-10-14T04:00:00+00:00,10000,10000.0,0.0,0.17427543095283204,0.0,0.0,9,21,2025-07-07,2025-10-05
