ok,symbol,timeframe,bars,start,end,initial_equity,final_equity,total_return,buyhold_return,max_drawdown,sharpe,fast,slow,window_start,window_end
True,AAPL,1D,125,2025-06-26T04:00:00+00:00,2025-09-22T04:00:00+00:00,10000,10000.0,0.0,0.27391196219845804,0.0,0.0,9,21,2023-09-24,2023-12-23
True,AAPL,1D,183,2025-06-26T04:00:00+00:00,2025-09-22T04:00:00+00:00,10000,10000.0,0.0,0.27391196219845804,0.0,0.0,9,21,2023-10-24,2024-01-22
True,AAPL,1D,183,2025-06-26T04:00:00+00:00,2025-09-22T04:00:00+00:00,10000,10000.0,0.0,0.27391196219845804,0.0,0.0,9,21,2023-11-23,2024-02-21
True,AAPL,1D,183,2025-06-26T04:00:00+00:00,2025-09-22T04:00:00+00:00,10000,10000.0,0.0,0.27391196219845804,0.0,0.0,9,21,2023-12-23,2024-03-22
True,AAPL,1D,183,2025-06-26T04:00:00+00:00,2025-09-22T04:00:00+00:00,10000,10000.0,0.0,0.27391196219845804,0.0,0.0,9,21,2024-01-22,2024-04-21
True,AAPL,1D,183,2025-06-26T04:00:00+00:00,2025-09-22T04:00:00+00:00,10000,10000.0,0.0,0.27391196219845804,0.0,0.0,9,21,2024-02-21,2024-05-21
True,AAPL,1D,183,2025-06-26T04:00:00+00:00,2025-09-22T04:00:00+00:00,10000,10000.0,0.0,0.27391196219845804,0.0,0.0,9,21,2024-03-22,2024-06-20
True,AAPL,1D,183,2025-06-26T04:00:00+00:00,2025-09-22T04:00:00+00:00,10000,10000.0,0.0,0.27391196219845804,0.0,0.0,9,21,2024-04-21,2024-07-20
True,AAPL,1D,183,2025-06-26T04:00:00+00:00,2025-09-22T04:00:00+00:00,10000,10000.0,0.0,0.27391196219845804,0.0,0.0,9,21,2024-05-21,2024-08-19
True,AAPL,1D,183,2025-06-26T04:00:00+00:00,2025-09-22T04:00:00+00:00,10000,10000.0,0.0,0.27391196219845804,0.0,0.0,9,21,2024-06-20,2024-09-18
True,AAPL,1D,183,2025-06-26T04:00:00+00:00,2025-09-22T04:00:00+00:00,10000,10000.0,0.0,0.27391196219845804,0.0,0.0,9,21,2024-07-20,2024-10-18
True,AAPL,1D,183,2025-06-26T04:00:00+00:00,2025-09-22T04:00:00+00:00,10000,10000.0,0.0,0.27391196219845804,0.0,0.0,9,21,2024-08-19,2024-11-17
True,AAPL,1D,183,2025-06-26T04:00:00+00:00,2025-09-22T04:00:00+00:00,10000,10000.0,0.0,0.27391196219845804,0.0,0.0,9,21,2024-09-18,2024-12-17
True,AAPL,1D,183,2025-06-26T04:00:00+00:00,2025-09-22T04:00:00+00:00,10000,10000.0,0.0,0.27391196219845804,0.0,0.0,9,21,2024-10-18,2025-01-16
True,AAPL,1D,183,2025-06-26T04:00:00+00:00,2025-09-22T04:00:00+00:00,10000,10000.0,0.0,0.27391196219845804,0.0,0.0,9,21,2024-11-17,2025-02-15
True,AAPL,1D,183,2025-06-26T04:00:00+00:00,2025-09-22T04:00:00+00:00,10000,10000.0,0.0,0.27391196219845804,0.0,0.0,9,21,2024-12-17,2025-03-17
True,AAPL,1D,183,2025-06-26T04:00:00+00:00,2025-09-22T04:00:00+00:00,10000,10000.0,0.0,0.27391196219845804,0.0,0.0,9,21,2025-01-16,2025-04-16
True,AAPL,1D,183,2025-06-26T04:00:00+00:00,2025-09-22T04:00:00+00:00,10000,10000.0,0.0,0.27391196219845804,0.0,0.0,9,21,2025-02-15,2025-05-16
True,AAPL,1D,183,2025-06-26T04:00:00+00:00,2025-09-22T04:00:00+00:00,10000,10000.0,0.0,0.27391196219845804,0.0,0.0,9,21,2025-03-17,2025-06-15
True,AAPL,1D,183,2025-06-26T04:00:00+00:00,2025-09-22T04:00:00+00:00,10000,10000.0,0.0,0.27391196219845804,0.0,0.0,9,21,2025-04-16,2025-07-15
True,AAPL,1D,183,2025-06-26T04:00:00+00:00,2025-09-22T04:00:00+00:00,10000,10000.0,0.0,0.27391196219845804,0.0,0.0,9,21,2025-05-16,2025-08-14
True,AAPL,1D,183,2025-06-26T04:00:00+00:00,2025-09-22T04:00:00+00:00,10000,10000.0,0.0,0.27391196219845804,0.0,0.0,9,21,2025-06-15,2025-09-13
