timestamp,symbol,timeframe,bars,start,end,initial_equity,final_equity,total_return,buyhold_return,max_drawdown,sharpe,fast,slow
2025-08-14T20:37:16.102368,AAPL,1D,501,2023-08-16T04:00:00+00:00,2025-08-14T04:00:00+00:00,10000,10420.045762595211,0.04200457625952114,0.318493344661569,-0.20898455358435708,0.013232626905451688,9,21
2025-08-14T20:39:26.540781,AAPL,1D,501,2023-08-16T04:00:00+00:00,2025-08-14T04:00:00+00:00,10000,10420.045762595211,0.04200457625952114,0.318493344661569,-0.20898455358435708,0.013232626905451688,9,21
2025-08-14T20:41:08.059593,AAPL,1D,501,2023-08-16T04:00:00+00:00,2025-08-14T04:00:00+00:00,10000,10420.045762595211,0.04200457625952114,0.318493344661569,-0.20898455358435708,0.013232626905451688,9,21
2025-08-17T20:04:42.091530,AAPL,1D,499,2023-08-21T04:00:00+00:00,2025-08-15T04:00:00+00:00,10000,10598.777554273724,0.05987775542737239,0.3173158942280354,-0.20898455358435586,0.016677930220499154,9,21
2025-08-17T20:21:51.503063,AAPL,1D,499,2023-08-21T04:00:00+00:00,2025-08-15T04:00:00+00:00,10000,10598.777554273724,0.05987775542737239,0.3173158942280354,-0.20898455358435586,0.016677930220499154,9,21
2025-08-17T20:38:08.149731,AAPL,1D,499,2023-08-21T04:00:00+00:00,2025-08-15T04:00:00+00:00,10000,10598.777554273724,0.05987775542737239,0.3173158942280354,-0.20898455358435586,0.016677930220499154,9,21
2025-08-17T20:44:49.739716,AAPL,1D,499,2023-08-21T04:00:00+00:00,2025-08-15T04:00:00+00:00,10000,10598.777554273724,0.05987775542737239,0.3173158942280354,-0.20898455358435586,0.016677930220499154,9,21
2025-08-17T20:54:44.107848,AAPL,1D,499,2023-08-21T04:00:00+00:00,2025-08-15T04:00:00+00:00,10000,11605.83282669138,0.16058328266913802,0.3173158942280354,-0.16321723968785207,0.03892592290842822,9,21
2025-08-17T21:02:21.741261,AAPL,1D,499,2023-08-21T04:00:00+00:00,2025-08-15T04:00:00+00:00,10000,11605.83282669138,0.16058328266913802,0.3173158942280354,-0.16321723968785207,0.03892592290842822,9,21
2025-08-17T21:14:35.769610,AAPL,1D,499,2023-08-21T04:00:00+00:00,2025-08-15T04:00:00+00:00,10000,11605.83282669138,0.16058328266913802,0.3173158942280354,-0.16321723968785207,0.03892592290842822,9,21
2025-08-17T21:22:04.855938,AAPL,1D,499,2023-08-21T04:00:00+00:00,2025-08-15T04:00:00+00:00,10000,11605.83282669138,0.16058328266913802,0.3173158942280354,-0.16321723968785207,0.03892592290842822,9,21
2025-08-17T21:30:20.269700,AAPL,1D,499,2023-08-21T04:00:00+00:00,2025-08-15T04:00:00+00:00,10000,11605.83282669138,0.16058328266913802,0.3173158942280354,-0.16321723968785207,0.03892592290842822,9,21
2025-08-17T21:42:32.212533,AAPL,1D,499,2023-08-21T04:00:00+00:00,2025-08-15T04:00:00+00:00,10000,11605.83282669138,0.16058328266913802,0.3173158942280354,-0.16321723968785207,0.03892592290842822,9,21
2025-08-17T21:50:08.790012,AAPL,1D,499,2023-08-21T04:00:00+00:00,2025-08-15T04:00:00+00:00,10000,11605.83282669138,0.16058328266913802,0.3173158942280354,-0.16321723968785207,0.03892592290842822,9,21
2025-08-17T22:05:53.791495,AAPL,1D,499,2023-08-21T04:00:00+00:00,2025-08-15T04:00:00+00:00,10000,11605.83282669138,0.16058328266913802,0.3173158942280354,-0.16321723968785207,0.03892592290842822,9,21
2025-08-17T22:22:13.613739,AAPL,1D,499,2023-08-21T04:00:00+00:00,2025-08-15T04:00:00+00:00,10000,11605.83282669138,0.16058328266913802,0.3173158942280354,-0.16321723968785207,0.03892592290842822,9,21
2025-08-17T22:57:44.032506,AAPL,1D,499,2023-08-21T04:00:00+00:00,2025-08-15T04:00:00+00:00,10000,11605.83282669138,0.16058328266913802,0.3173158942280354,-0.16321723968785207,0.03892592290842822,9,21
2025-08-17T23:07:11.199388,AAPL,1D,499,2023-08-21T04:00:00+00:00,2025-08-15T04:00:00+00:00,10000,11605.83282669138,0.16058328266913802,0.3173158942280354,-0.16321723968785207,0.03892592290842822,9,21
2025-08-17T23:12:20.583097,AAPL,1D,499,2023-08-21T04:00:00+00:00,2025-08-15T04:00:00+00:00,10000,11605.83282669138,0.16058328266913802,0.3173158942280354,-0.16321723968785207,0.03892592290842822,9,21
2025-08-17T23:19:50.989426,AAPL,1D,499,2023-08-21T04:00:00+00:00,2025-08-15T04:00:00+00:00,10000,11605.83282669138,0.16058328266913802,0.3173158942280354,-0.16321723968785207,0.03892592290842822,9,21
2025-08-17T23:48:51.127965,AAPL,1D,499,2023-08-21T04:00:00+00:00,2025-08-15T04:00:00+00:00,10000,11605.83282669138,0.16058328266913802,0.3173158942280354,-0.16321723968785207,0.03892592290842822,9,21
2025-08-18T00:06:38.448440,AAPL,1D,499,2023-08-21T04:00:00+00:00,2025-08-15T04:00:00+00:00,10000,11605.83282669138,0.16058328266913802,0.3173158942280354,-0.16321723968785207,0.03892592290842822,9,21
2025-08-18T00:14:41.408098,AAPL,1D,499,2023-08-21T04:00:00+00:00,2025-08-15T04:00:00+00:00,10000,11605.83282669138,0.16058328266913802,0.3173158942280354,-0.16321723968785207,0.03892592290842822,9,21
2025-08-18T00:45:23.539256,AAPL,1D,499,2023-08-21T04:00:00+00:00,2025-08-15T04:00:00+00:00,10000,11605.83282669138,0.16058328266913802,0.3173158942280354,-0.16321723968785207,0.03892592290842822,9,21
2025-08-18T01:20:09.182842,AAPL,1D,499,2023-08-21T04:00:00+00:00,2025-08-15T04:00:00+00:00,10000,11605.83282669138,0.16058328266913802,0.3173158942280354,-0.16321723968785207,0.03892592290842822,9,21
2025-08-18T01:54:05.462800,AAPL,1D,499,2023-08-21T04:00:00+00:00,2025-08-15T04:00:00+00:00,10000,11605.83282669138,0.16058328266913802,0.3173158942280354,-0.16321723968785207,0.03892592290842822,9,21
2025-08-18T02:14:52.814327,AAPL,1D,499,2023-08-21T04:00:00+00:00,2025-08-15T04:00:00+00:00,10000,11605.83282669138,0.16058328266913802,0.3173158942280354,-0.16321723968785207,0.03892592290842822,9,21
2025-08-18T02:24:19.851198,AAPL,1D,499,2023-08-21T04:00:00+00:00,2025-08-15T04:00:00+00:00,10000,11605.83282669138,0.16058328266913802,0.3173158942280354,-0.16321723968785207,0.03892592290842822,9,21
